# Observation File: breakthrough_curve.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: surface-component_concentration
# Region: observation point
# Functional: point
# Variable: surface-total_component_concentration
# Number of Vectors: 2
# =============================================================================
"time [s]" "surface-component_concentration"
5.292000000000e+04 5.501071514780e-01 5.501071514780e-01
5.304000000000e+04 5.109889141787e-01 5.109889141787e-01
5.316000000000e+04 4.722456694129e-01 4.722456694129e-01
5.328000000000e+04 4.342310852927e-01 4.342310852927e-01
5.340000000000e+04 3.972658641520e-01 3.972658641520e-01
5.352000000000e+04 3.616313364283e-01 3.616313364283e-01
5.364000000000e+04 3.275651278482e-01 3.275651278482e-01
5.376000000000e+04 2.952588521238e-01 2.952588521238e-01
5.388000000000e+04 2.648576781378e-01 2.648576781378e-01
5.400000000000e+04 2.364615431826e-01 2.364615431826e-01
5.412000000000e+04 2.101277331359e-01 2.101277331359e-01
5.424000000000e+04 1.858745251314e-01 1.858745251314e-01
5.436000000000e+04 1.636855852411e-01 1.636855852411e-01
5.448000000000e+04 1.435148288185e-01 1.435148288185e-01
5.460000000000e+04 1.252914798447e-01 1.252914798447e-01
5.472000000000e+04 1.089251033108e-01 1.089251033108e-01
5.484000000000e+04 9.431042712591e-02 9.431042712591e-02
5.496000000000e+04 8.133181368298e-02 8.133181368298e-02
5.508000000000e+04 6.986728317916e-02 6.986728317916e-02
5.520000000000e+04 5.979202899424e-02 5.979202899424e-02
5.532000000000e+04 5.098139853681e-02 5.098139853681e-02
5.544000000000e+04 4.331334026977e-02 4.331334026977e-02
5.556000000000e+04 3.667033895967e-02 3.667033895967e-02
5.568000000000e+04 3.094087679633e-02 3.094087679633e-02
5.580000000000e+04 2.602046842588e-02 2.602046842588e-02
5.592000000000e+04 2.181232383132e-02 2.181232383132e-02
5.604000000000e+04 1.822769516492e-02 1.822769516492e-02
5.616000000000e+04 1.518596288208e-02 1.518596288208e-02
5.628000000000e+04 1.261451360020e-02 1.261451360020e-02
5.640000000000e+04 1.044845768794e-02 1.044845768794e-02
5.652000000000e+04 8.630229259442e-03 8.630229259442e-03
5.664000000000e+04 7.109105483140e-03 7.109105483140e-03
5.676000000000e+04 5.840676287083e-03 5.840676287083e-03
5.688000000000e+04 4.786289930805e-03 4.786289930805e-03
5.700000000000e+04 3.912494708586e-03 3.912494708586e-03
5.712000000000e+04 3.190492371596e-03 3.190492371596e-03
5.724000000000e+04 2.595614768802e-03 2.595614768802e-03
5.736000000000e+04 2.106831725898e-03 2.106831725898e-03
5.748000000000e+04 1.706295292137e-03 1.706295292137e-03
5.760000000000e+04 1.378923147902e-03 1.378923147902e-03
5.772000000000e+04 1.112022127998e-03 1.112022127998e-03
5.784000000000e+04 8.949514164208e-04 8.949514164208e-04
5.796000000000e+04 7.188239443250e-04 7.188239443250e-04
5.808000000000e+04 5.762438126160e-04 5.762438126160e-04
5.820000000000e+04 4.610771058736e-04 4.610771058736e-04
5.832000000000e+04 3.682532129593e-04 3.682532129593e-04
5.844000000000e+04 2.935936755414e-04 2.935936755414e-04
5.856000000000e+04 2.336656094312e-04 2.336656094312e-04
5.868000000000e+04 1.856568520192e-04 1.856568520192e-04
5.880000000000e+04 1.472701552140e-04 1.472701552140e-04
5.892000000000e+04 1.166339455038e-04 1.166339455038e-04
5.904000000000e+04 9.222739427572e-05 9.222739427572e-05
5.916000000000e+04 7.281776955523e-05 7.281776955523e-05
5.928000000000e+04 5.740826554144e-05 5.740826554144e-05
5.940000000000e+04 4.519472212734e-05 4.519472212734e-05
5.952000000000e+04 3.552984868774e-05 3.552984868774e-05
5.964000000000e+04 2.789375218638e-05 2.789375218638e-05
5.976000000000e+04 2.186973783612e-05 2.186973783612e-05
5.988000000000e+04 1.712450085786e-05 1.712450085786e-05
6.000000000000e+04 1.339196074076e-05 1.339196074076e-05
6.012000000000e+04 1.046010570306e-05 1.046010570306e-05
6.024000000000e+04 8.160315982606e-06 8.160315982606e-06
6.036000000000e+04 6.358721507710e-06 6.358721507710e-06
6.048000000000e+04 4.949223839516e-06 4.949223839516e-06
6.060000000000e+04 3.847875456137e-06 3.847875456137e-06
6.072000000000e+04 2.988362832328e-06 2.988362832328e-06
6.084000000000e+04 2.318384635175e-06 2.318384635175e-06
6.096000000000e+04 1.796753879038e-06 1.796753879038e-06
6.108000000000e+04 1.391084119927e-06 1.391084119927e-06
6.120000000000e+04 1.075945662402e-06 1.075945662402e-06
6.132000000000e+04 8.313991290720e-07 8.313991290720e-07
6.144000000000e+04 6.418313249161e-07 6.418313249161e-07
6.156000000000e+04 4.950327382946e-07 4.950327382946e-07
6.168000000000e+04 3.814677904216e-07 3.814677904216e-07
6.180000000000e+04 2.936985283258e-07 2.936985283258e-07
6.192000000000e+04 2.259302356238e-07 2.259302356238e-07
6.204000000000e+04 1.736537322802e-07 1.736537322802e-07
6.216000000000e+04 1.333642175263e-07 1.333642175263e-07
6.228000000000e+04 1.023406025830e-07 1.023406025830e-07
6.240000000000e+04 7.847256662447e-08 7.847256662447e-08
6.252000000000e+04 6.012520288351e-08 6.012520288351e-08
6.264000000000e+04 4.603322699157e-08 4.603322699157e-08
6.276000000000e+04 3.521839888983e-08 3.521839888983e-08
6.288000000000e+04 2.692514631169e-08 2.692514631169e-08
6.300000000000e+04 2.057043968531e-08 2.057043968531e-08
6.312000000000e+04 1.570481020677e-08 1.570481020677e-08
6.324000000000e+04 1.198206911204e-08 1.198206911204e-08
6.336000000000e+04 9.135812521841e-09 9.135812521841e-09
6.348000000000e+04 6.961211321043e-09 6.961211321043e-09
6.360000000000e+04 5.300912336183e-09 5.300912336183e-09
6.372000000000e+04 4.034133957802e-09 4.034133957802e-09
6.384000000000e+04 3.068240963830e-09 3.068240963830e-09
6.396000000000e+04 2.332241293604e-09 2.332241293604e-09
6.408000000000e+04 1.771771155884e-09 1.771771155884e-09
6.420000000000e+04 1.345231465554e-09 1.345231465554e-09
6.432000000000e+04 1.020813996655e-09 1.020813996655e-09
6.444000000000e+04 7.742143969709e-10 7.742143969709e-10
6.456000000000e+04 5.868749439876e-10 5.868749439876e-10
6.468000000000e+04 4.446354762536e-10 4.446354762536e-10
6.480000000000e+04 3.366985410766e-10 3.366985410766e-10
